no	plot	block	replanted	species	mycorrhiza	substrate	soilType	acidbrickRatioTreat	brickRatio	acid	soilMoisture1	soilMoisture2	soilMoisture3	soilMoisture4	soilMoisture5	soilMoisture6	comment	conf.low	conf.high	rgr13	rgr12	rgr23	sla1	sla2	sla3	abstransRatio	srl	rtd	rmf	lmf	smf	rootshootRatio
2	AY30Anoac	A	0	Acer	Control	substrate_1	rich	Acid_30	30	Acid	19.1	23	26.2	10.8	16.2	13.9	NA	2	2	0.00081590619087606	0.00207080538662565	0.00134638936798276	167.5	177.666666666667	168.846153846154	0.539170506912443	41.7663817663818	3.73504273504274	0.525294428822006	0.129001122959416	0.345704448218578	1.10656891495601
4	AY30Tnoac	A	0	Tilia	Control	substrate_1	rich	Acid_30	30	Acid	17.1	22.4	17.7	5	8.8	13.8	NA	4	4	0.00212983227409326	0.00540560691305191	0.00351459954770867	203.333333333333	202.727272727273	244.444444444444	0.397660818713451	124.264705882353	5.76470588235294	0.481346408567407	0.114160811123848	0.404492780308745	0.928069170865781
6	BY30Anoac	B	0	Acer	Control	substrate_1	rich	Acid_30	30	Acid	23.2	26.5	20.4	12.8	10.8	11.4	NA	6	6	0.000562695149545293	0.00142814475455246	0.000928546412853893	143.943661971831	159.565217391304	146.666666666667	1.49593495934959	27.9076086956522	2.48641304347826	0.672431173356039	0.155318711647435	0.172250114996526	2.05279354645952
8	BY30Tnoac	B	0	Tilia	Control	substrate_1	rich	Acid_30	30	Acid	22.7	24.6	17.9	7.8	8.1	7.6	NA	8	8	0.00163753704326192	0.00415614021306149	0.00270222543888097	176.666666666667	160.625	190	0.653958944281525	39.7309417040359	2.40582959641256	0.513735860143969	0.114098232211939	0.372165907644092	1.05649546827795
10	CY30Anoac	C	0	Acer	Control	substrate_1	rich	Acid_30	30	Acid	20	21.5	22.5	6.9	7.8	6.4	NA	10	10	0.00180461930164736	0.00458020224928978	0.0029779406850506	140.58064516129	148.518518518519	140.819672131148	1.67894736842105	48.9341692789969	3.21630094043887	0.650634742731604	0.131458501712443	0.217906755555953	1.86233384458078
12	CY30Tnoac	C	0	Tilia	Control	substrate_1	rich	Acid_30	30	Acid	19.4	14.2	18.4	5.3	10.4	8.1	NA	12	12	0.00144445762136203	0.00366609624552211	0.00238361027977409	205.652173913043	194.166666666667	184.705882352941	0.363247863247863	91.2941176470589	4.35294117647059	0.612585544359591	0.101923602198616	0.285490853441792	1.58121498937609
14	DY30Anoac	D	0	Acer	Control	substrate_1	rich	Acid_30	30	Acid	20.3	18.5	19	12.7	18.2	17.4	NA	14	14	0.000781397153542552	0.00198321994948028	0.00128944335937941	166.451612903226	164.69387755102	200	0.774703557312253	34.3367346938775	3.11734693877551	0.609864373451715	0.129100674483404	0.261034952064881	1.56321118080775
16	DY30Tnoac	D	0	Tilia	Control	substrate_1	rich	Acid_30	30	Acid	17.4	15.8	15.5	9.6	7	11.6	NA	16	16	0.00157575854706133	0.00399934370368284	0.00260028000522135	203.076923076923	206.923076923077	208	0.850162866449512	49.1570881226053	3.07662835249042	0.449325808522862	0.100368355243148	0.45030583623399	0.815955814667076
18	EY30Anoac	E	0	Acer	Control	substrate_1	rich	Acid_30	30	Acid	23.3	24.3	20.8	15.5	13.6	18.3	NA	18	18	0.00136659527483616	0.00346847822472004	0.00225512365140808	166.833333333333	163.59375	163.703703703704	1.00512820512821	45.4591836734693	2.11734693877551	0.543654896580942	0.16936415310358	0.286980950315477	1.1913240495137
20	EY30Tnoac	E	0	Tilia	Control	substrate_1	rich	Acid_30	30	Acid	15.7	17.5	14.6	7.9	8.2	11.6	balls	20	20	0.00132989604665309	0.00337533398797278	0.00219456344094343	243.333333333333	218.823529411765	226.153846153846	0.379139072847682	46.5065502183406	9.14847161572052	0.584341346932591	0.0833407355930255	0.332317917474384	1.40582023884349
