no,plot,block,replanted,species,mycorrhiza,substrate,soilType,acidbrickRatioTreat,brickRatio,acid,conf.low,conf.high,rgr13,rgr12,rgr23,sla1,sla2,sla3,abstransRatio,srl,rtd,branchingIntensity,rmf,lmf,smf,rootshootRatio
1,AY30Amyac,A,0,Acer,Mycorrhiza,substrate_1,rich,Acid_30,30,Acid,1,1,0.0012253344551723707,0.003109952122638571,0.0020220183412208376,155.36231884057972,175.53191489361703,175.78125,1.6090909090909113,28.07909604519773,2.6779661016949143,8.507042253521126,0.5657347116026649,0.1581428506880469,0.27612243770928824,1.3027398843930638
2,AY30Anoac,A,0,Acer,Control,substrate_1,rich,Acid_30,30,Acid,2,2,8.159061908760604e-4,0.0020708053866256536,0.001346389367982757,167.50000000000003,177.66666666666666,168.84615384615384,0.5391705069124425,41.76638176638177,3.735042735042735,2.811050477489768,0.5252944288220063,0.1290011229594157,0.34570444821857804,1.1065689149560114
3,AY30Tmyac,A,0,Tilia,Mycorrhiza,substrate_1,rich,Acid_30,30,Acid,3,3,0.0011679717408738578,0.002964363059717889,0.001927359727873115,191.11111111111111,215.33333333333331,193.33333333333334,0.38907849829351476,64.561403508772,3.2456140350877227,5.529891304347826,0.4430759597606432,0.12038727132030222,0.43653676891905463,0.7955770046669495
4,AY30Tnoac,A,0,Tilia,Control,substrate_1,rich,Acid_30,30,Acid,4,4,0.0021298322740932597,0.005405606913051914,0.003514599547708665,203.33333333333334,202.72727272727272,244.44444444444446,0.39766081871345105,124.26470588235281,5.764705882352937,5.0627218934911244,0.4813464085674066,0.11416081112384847,0.404492780308745,0.9280691708657811
5,BY30Amyac,B,0,Acer,Mycorrhiza,substrate_1,rich,Acid_30,30,Acid,5,5,8.350340933023539e-4,0.002119352834631518,0.0013779537864742025,155,123.60000000000001,143.11475409836066,0.9022082018927441,57.132867132867126,4.045454545454545,2.9302325581395348,0.5703561652002404,0.15987440568751463,0.26976942911224494,1.3275092506938018
6,BY30Anoac,B,0,Acer,Control,substrate_1,rich,Acid_30,30,Acid,6,6,5.626951495452928e-4,0.0014281447545524551,9.28546412853893e-4,143.943661971831,159.56521739130434,146.66666666666666,1.495934959349593,27.907608695652183,2.4864130434782616,2.352482960077897,0.672431173356039,0.15531871164743533,0.17225011499652562,2.0527935464595157
7,BY30Tmyac,B,0,Tilia,Mycorrhiza,substrate_1,rich,Acid_30,30,Acid,7,7,0.002460433783368163,0.006244687917570283,0.004060150448172905,185.55555555555554,163.6842105263158,171,1.239852398523985,40.297619047619065,3.2738095238095255,5.1875923190546525,0.5897886153835391,0.08664565529930705,0.3235657293171539,1.437767544981666
8,BY30Tnoac,B,0,Tilia,Control,substrate_1,rich,Acid_30,30,Acid,8,8,0.0016375370432619167,0.004156140213061495,0.002702225438880972,176.66666666666669,160.625,190,0.6539589442815248,39.73094170403586,2.405829596412555,5.12020316027088,0.5137358601439694,0.11409823221193868,0.37216590764409185,1.0564954682779457
9,CY30Amyac,C,0,Acer,Mycorrhiza,substrate_1,rich,Acid_30,30,Acid,9,9,0.0010399152041289479,0.002639350001783797,0.0017160438174142001,147.0689655172414,152.25806451612905,144.21875,1.504716981132077,38.05642633228841,4.576802507836991,2.844316309719934,0.6093860434434341,0.16780985588411493,0.222804100672451,1.560072376357057
10,CY30Anoac,C,0,Acer,Control,substrate_1,rich,Acid_30,30,Acid,10,10,0.0018046193016473648,0.004580202249289779,0.0029779406850505984,140.58064516129033,148.5185185185185,140.81967213114754,1.6789473684210527,48.93416927899687,3.216300940438872,4.1114670083279945,0.650634742731604,0.13145850171244347,0.2179067555559525,1.8623338445807769
