no	plot	block	replanted	species	mycorrhiza	substrate	soilType	acidbrickRatioTreat	brickRatio	acid	soilMoisture1	soilMoisture2	soilMoisture3	soilMoisture4	soilMoisture5	soilMoisture6	comment	conf.low	conf.high	rgr13	rgr12	rgr23	sla1	sla2	sla3	abstransRatio	srl	rtd	rmf	lmf	smf	rootshootRatio
1	AY30Amyac	A	0	Acer	Mycorrhiza	substrate_1	rich	Acid_30	30	Acid	19.6	20	26.7	16.1	16	14.9	NA	1	1	0.00122533445517237	0.00310995212263857	0.00202201834122084	155.36231884058	175.531914893617	175.78125	1.60909090909091	28.0790960451977	2.67796610169491	0.565734711602665	0.158142850688047	0.276122437709288	1.30273988439306
2	AY30Anoac	A	0	Acer	Control	substrate_1	rich	Acid_30	30	Acid	19.1	23	26.2	10.8	16.2	13.9	NA	2	2	0.00081590619087606	0.00207080538662565	0.00134638936798276	167.5	177.666666666667	168.846153846154	0.539170506912443	41.7663817663818	3.73504273504274	0.525294428822006	0.129001122959416	0.345704448218578	1.10656891495601
3	AY30Tmyac	A	0	Tilia	Mycorrhiza	substrate_1	rich	Acid_30	30	Acid	19.3	24.7	26.9	19.4	15.4	12	turbid	3	3	0.00116797174087386	0.00296436305971789	0.00192735972787312	191.111111111111	215.333333333333	193.333333333333	0.389078498293515	64.561403508772	3.24561403508772	0.443075959760643	0.120387271320302	0.436536768919055	0.795577004666949
4	AY30Tnoac	A	0	Tilia	Control	substrate_1	rich	Acid_30	30	Acid	17.1	22.4	17.7	5	8.8	13.8	NA	4	4	0.00212983227409326	0.00540560691305191	0.00351459954770867	203.333333333333	202.727272727273	244.444444444444	0.397660818713451	124.264705882353	5.76470588235294	0.481346408567407	0.114160811123848	0.404492780308745	0.928069170865781
5	BY30Amyac	B	0	Acer	Mycorrhiza	substrate_1	rich	Acid_30	30	Acid	15.9	15.6	16.8	11.3	18.8	14.1	turbid	5	5	0.000835034093302354	0.00211935283463152	0.0013779537864742	155	123.6	143.114754098361	0.902208201892744	57.1328671328671	4.04545454545454	0.57035616520024	0.159874405687515	0.269769429112245	1.3275092506938
6	BY30Anoac	B	0	Acer	Control	substrate_1	rich	Acid_30	30	Acid	23.2	26.5	20.4	12.8	10.8	11.4	NA	6	6	0.000562695149545293	0.00142814475455246	0.000928546412853893	143.943661971831	159.565217391304	146.666666666667	1.49593495934959	27.9076086956522	2.48641304347826	0.672431173356039	0.155318711647435	0.172250114996526	2.05279354645952
7	BY30Tmyac	B	0	Tilia	Mycorrhiza	substrate_1	rich	Acid_30	30	Acid	14.4	19.1	15.9	8.9	8.3	8.3	turbid	7	7	0.00246043378336816	0.00624468791757028	0.00406015044817291	185.555555555556	163.684210526316	171	1.23985239852399	40.2976190476191	3.27380952380953	0.589788615383539	0.0866456552993071	0.323565729317154	1.43776754498167
8	BY30Tnoac	B	0	Tilia	Control	substrate_1	rich	Acid_30	30	Acid	22.7	24.6	17.9	7.8	8.1	7.6	NA	8	8	0.00163753704326192	0.00415614021306149	0.00270222543888097	176.666666666667	160.625	190	0.653958944281525	39.7309417040359	2.40582959641256	0.513735860143969	0.114098232211939	0.372165907644092	1.05649546827795
9	CY30Amyac	C	0	Acer	Mycorrhiza	substrate_1	rich	Acid_30	30	Acid	22.7	28.1	25.5	11.3	14.5	14.2	NA	9	9	0.00103991520412895	0.0026393500017838	0.0017160438174142	147.068965517241	152.258064516129	144.21875	1.50471698113208	38.0564263322884	4.57680250783699	0.609386043443434	0.167809855884115	0.222804100672451	1.56007237635706
10	CY30Anoac	C	0	Acer	Control	substrate_1	rich	Acid_30	30	Acid	20	21.5	22.5	6.9	7.8	6.4	NA	10	10	0.00180461930164736	0.00458020224928978	0.0029779406850506	140.58064516129	148.518518518519	140.819672131148	1.67894736842105	48.9341692789969	3.21630094043887	0.650634742731604	0.131458501712443	0.217906755555953	1.86233384458078
