"","term","statistic","df","p.value"
"1","(Intercept)",66.6896506417258,1,3.1779920154961e-16
"2","species",3.01031192517571,1,0.082736368290911
"3","brickRatio",0.529555439215268,1,0.4667938220303
"4","soilType",0.518206056345568,1,0.471607932057315
"5","mycorrhiza",0.35005116023157,1,0.55408417093436
"6","species:brickRatio",0.451477061111836,1,0.501634354964096
"7","species:soilType",0.0828716691273594,1,0.773442885014031
"8","species:mycorrhiza",2.59454949570221,1,0.107231926247152
"9","brickRatio:soilType",0.810423488001255,1,0.367995075961454
"10","brickRatio:mycorrhiza",0.0626959520822526,1,0.802284526954668
"11","soilType:mycorrhiza",1.49368893852156,1,0.221644981173682
"12","species:brickRatio:soilType",0.323754950857946,1,0.569359747311656
"13","species:brickRatio:mycorrhiza",0.30824391769602,1,0.578759792027403
