"","term","statistic","df","p.value"
"1","(Intercept)",132.567016032599,1,1.12446025348441e-30
"2","species",16.8722566830722,1,3.99817205166879e-05
"3","brickRatio",2.55698352380485,1,0.109807921664815
"4","soilType",5.52410588556366,1,0.018756186227562
"5","mycorrhiza",0.595412292696484,1,0.440333817328524
"6","species:brickRatio",1.01651572380012,1,0.313346917359791
"7","species:soilType",1.70052984085731,1,0.19221870006232
"8","species:mycorrhiza",0.0367839642787044,1,0.847905560410369
"9","brickRatio:soilType",0.0606873858360093,1,0.80541277936868
"10","brickRatio:mycorrhiza",0.775977553396962,1,0.378374177032882
"11","soilType:mycorrhiza",0.00130383147766602,1,0.971195759652131
"12","species:brickRatio:soilType",0.0305223795711986,1,0.861310218624469
"13","species:brickRatio:mycorrhiza",0.0523869000747886,1,0.818960749756413
