"","term","statistic","df","p.value"
"1","(Intercept)",1419.65830690005,1,1.12372057344633e-310
"2","species",37.9088462304774,1,7.41283546444446e-10
"3","brickRatio",1.17287094774523,1,0.278812122404769
"4","soilType",0.0619049867813554,1,0.803509977372618
"5","mycorrhiza",5.02015435415183,1,0.0250539355739619
"6","species:brickRatio",0.531460278109581,1,0.465993574503444
"7","species:soilType",1.32263764019355,1,0.250119224843766
"8","species:mycorrhiza",3.12650580293755,1,0.0770286762859177
"9","brickRatio:soilType",0.934668650968466,1,0.333652710278486
"10","brickRatio:mycorrhiza",1.46111711471156,1,0.226752459746733
"11","soilType:mycorrhiza",0.285883018136615,1,0.592870949425821
"12","species:brickRatio:soilType",0.652635413753699,1,0.41917202331582
"13","species:brickRatio:mycorrhiza",0.778079116137482,1,0.377729258867908
