"","term","statistic","df","p.value"
"1","(Intercept)",34.283065030524,1,4.76510255528955e-09
"2","species",1.16057211270341,1,0.281346920898894
"3","brickRatio",0.288149787872733,1,0.591408636480904
"4","soilType",3.42982350453641,1,0.064028943648484
"5","mycorrhiza",0.194830694862576,1,0.658926119378765
"6","species:brickRatio",1.11636113393122,1,0.290703347298413
"7","species:soilType",1.24150283640123,1,0.265181617068242
"8","species:mycorrhiza",2.23964572058686,1,0.13451179625221
"9","brickRatio:soilType",0.978253298342412,1,0.322630419441337
"10","brickRatio:mycorrhiza",0.0196855321505644,1,0.888418903815218
"11","soilType:mycorrhiza",0.000142374552731983,1,0.990479802840405
"12","species:brickRatio:soilType",0.347072227937582,1,0.555775168261527
"13","species:brickRatio:mycorrhiza",2.59780301005609,1,0.107011966454248
