"","term","statistic","df","p.value"
"1","(Intercept)",16043.8030746133,1,0
"2","species",17.2410758458322,1,3.29240380646619e-05
"3","brickRatio",5.05825651971544,1,0.0245088821318144
"4","soilType",1.76929290274423,1,0.183469612100944
"5","mycorrhiza",1.17455372622717,1,0.278467544165175
"6","species:brickRatio",0.1203551223484,1,0.72864964947379
"7","species:soilType",2.71370069248413,1,0.0994899502389635
"8","species:mycorrhiza",0.0540545845228778,1,0.816152468792275
"9","brickRatio:soilType",5.92278422145837,1,0.0149463217928384
"10","brickRatio:mycorrhiza",3.76549510145778,1,0.0523203666149897
"11","soilType:mycorrhiza",0.276817687549549,1,0.598794643657416
"12","species:brickRatio:soilType",3.42135938465942,1,0.0643579974815505
"13","species:brickRatio:mycorrhiza",0.0157051585619453,1,0.900270041904386
